Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761290005,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761290006,5,,Aggregated,0.000000,0.000000,140,140,150,150,160,160,170,170,170,170,170,30,0,140.0,141.70269453315996,126.37398100923747,172.15032799867913,127394.9
1761290007,10,,Aggregated,0.000000,0.000000,170,180,190,190,200,200,220,220,220,220,220,85,0,170.0,167.63059121132005,126.37398100923747,217.6310420036316,134622.2588235294
1761290008,15,,Aggregated,20.000000,0.000000,180,190,200,200,210,220,230,230,230,230,230,155,0,180.0,180.22728365744584,126.37398100923747,234.2479689978063,137270.89677419353
1761290009,20,,Aggregated,32.500000,0.000000,200,220,230,240,260,270,280,290,290,290,290,234,0,200.0,202.54252553814484,126.37398100923747,292.0689409947954,135672.91025641025
1761290010,25,,Aggregated,43.666667,0.000000,220,240,250,250,280,300,320,320,330,330,330,328,0,220.0,218.54276110042986,126.37398100923747,333.58946998487227,133872.84146341463
1761290011,30,,Aggregated,51.500000,0.000000,240,260,270,280,290,300,320,320,330,330,330,432,0,240.0,232.5601105140878,126.37398100923747,333.58946998487227,134434.6273148148
1761290012,35,,Aggregated,58.600000,0.000000,250,280,290,300,330,380,400,410,530,530,530,526,0,250.0,252.5733541503607,126.37398100923747,525.7851839996874,134220.67870722435
1761290013,40,,Aggregated,66.333333,0.000000,260,290,310,320,400,500,530,570,640,640,640,596,0,260.0,276.2276300840215,126.37398100923747,635.8212000050116,134962.88422818793
1761290014,45,,Aggregated,70.142857,0.000000,280,310,350,390,520,580,730,750,850,850,850,685,0,280.0,310.2632034207137,126.37398100923747,854.6439040219411,134730.55328467154
1761290015,50,,Aggregated,72.750000,0.000000,290,350,400,440,530,620,740,810,1200,1200,1200,773,0,290.0,329.91956666386494,126.37398100923747,1241.961588995764,134803.9301423027
1761290016,55,,Aggregated,72.333333,0.000000,300,380,440,490,600,750,860,1100,1800,1800,1800,841,0,300.0,362.755366977704,126.37398100923747,1826.072508993093,134740.57550535077
1761290017,60,,Aggregated,74.800000,0.000000,320,430,510,540,730,810,1100,1200,1800,1800,1800,933,0,320.0,398.8677909026471,126.37398100923747,1826.072508993093,135666.53804930332
1761290018,65,,Aggregated,79.400000,0.000000,340,470,540,600,760,860,1100,1200,1600,1800,1800,1012,0,340.0,420.37932863348556,126.37398100923747,1826.072508993093,134982.21739130435
1761290019,70,,Aggregated,83.000000,0.000000,370,500,580,650,800,930,1200,1700,2200,2300,2300,1082,0,370.0,453.0417047432775,126.37398100923747,2308.0594839993864,134916.3900184843
1761290020,75,,Aggregated,83.800000,0.000000,390,530,650,730,920,1100,1200,1700,2300,2500,2500,1156,0,390.0,491.19140757190405,126.37398100923747,2455.417943012435,134673.9671280277
1761290021,80,,Aggregated,85.300000,0.000000,430,580,680,750,930,1100,1300,1600,2300,2500,2500,1241,0,430.0,509.50470856413597,126.37398100923747,2455.417943012435,134431.893634166
1761290022,85,,Aggregated,82.500000,0.000000,450,620,720,780,960,1100,1300,1700,2300,2500,2500,1313,0,450.0,529.8937999186147,126.37398100923747,2455.417943012435,134250.18735719725
1761290023,90,,Aggregated,80.900000,0.000000,490,650,770,840,1100,1200,1700,2300,3000,3000,3000,1384,0,480.0,575.6810133108557,126.37398100923747,3038.6774740181863,134083.75216763007
1761290024,95,,Aggregated,80.600000,0.000000,510,700,810,900,1100,1200,1700,2300,3000,3000,3000,1473,0,510.0,603.9442438121105,126.37398100923747,3038.6774740181863,134415.80448065174
