Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760857473,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760857474,5,,Aggregated,0.000000,0.000000,130,140,150,150,180,200,210,210,210,210,210,32,0,130.0,134.48323500233528,96.06936300406232,214.20153399230912,2911498.65625
1760857475,10,,Aggregated,0.000000,0.000000,160,180,200,210,240,260,280,290,290,290,290,76,0,160.0,166.81776160763357,96.06936300406232,294.4458950078115,2963306.5789473685
1760857476,15,,Aggregated,3.000000,0.000000,190,210,220,240,260,290,320,330,390,390,390,135,0,190.0,191.91272440237097,96.06936300406232,385.94261097023264,2855384.1555555556
1760857477,20,,Aggregated,18.000000,0.000000,210,240,260,280,320,380,480,510,530,530,530,194,0,210.0,223.57756975911002,90.19909700145945,526.6672219731845,2820630.4484536084
1760857478,25,,Aggregated,27.666667,0.000000,230,270,290,310,360,430,520,680,770,770,770,263,0,230.0,247.73694053332113,90.19909700145945,770.4469669843093,2807425.6425855514
1760857479,30,,Aggregated,35.500000,0.000000,260,300,330,360,430,490,590,680,770,770,770,328,0,250.0,276.1475115793717,90.19909700145945,770.4469669843093,2796251.5274390243
1760857481,35,,Aggregated,44.666667,0.000000,280,340,390,430,530,610,680,750,920,920,920,393,0,280.0,314.09846052468777,90.19909700145945,924.15868898388,2793020.020356234
1760857482,40,,Aggregated,47.571429,0.000000,300,380,440,470,580,630,700,760,920,920,920,453,0,300.0,339.06656879534387,90.19909700145945,924.15868898388,2798712.454746137
1760857483,45,,Aggregated,48.500000,0.000000,330,420,470,510,610,700,820,1000,1300,1300,1300,508,0,330.0,367.9870436408953,90.19909700145945,1262.5266070244834,2794923.872047244
1760857484,50,,Aggregated,49.666667,0.000000,370,470,540,590,680,810,1000,1100,1300,1300,1300,580,0,370.0,409.1750960975709,90.19909700145945,1268.5011660214514,2782367.3465517242
1760857485,55,,Aggregated,50.100000,0.000000,410,510,580,620,740,840,1000,1100,1600,1600,1600,642,0,410.0,436.9341505091562,90.19909700145945,1620.8032940048724,2801021.230529595
1760857486,60,,Aggregated,56.600000,0.000000,430,550,620,670,840,1100,1300,1600,1900,1900,1900,685,0,430.0,480.9271801994726,90.19909700145945,1858.1368729937822,2795659.5372262774
1760857487,65,,Aggregated,60.200000,0.000000,460,580,670,740,970,1200,1500,1700,2000,2000,2000,755,0,460.0,526.2268060019597,90.19909700145945,1998.504348041024,2790400.2158940397
1760857488,70,,Aggregated,58.800000,0.000000,470,600,700,770,1000,1300,1600,1700,2000,2000,2000,776,0,460.0,542.4691369428813,90.19909700145945,1998.504348041024,2788252.1417525774
1760857489,75,,Aggregated,60.200000,0.000000,500,650,790,870,1200,1500,1800,2000,3000,3000,3000,856,0,500.0,617.1857067797264,90.19909700145945,2994.8066090000793,2788946.7768691587
1760857490,80,,Aggregated,56.800000,0.000000,520,700,830,930,1300,1600,1800,2200,3300,3300,3300,900,0,520.0,641.2640950861128,90.19909700145945,3251.439836982172,2786246.671111111
1760857491,85,,Aggregated,56.200000,0.000000,550,760,890,1000,1400,1700,1900,2100,3300,3300,3300,946,0,550.0,682.2300780956249,90.19909700145945,3251.439836982172,2775280.7505285414
1760857492,90,,Aggregated,56.400000,0.000000,580,790,990,1100,1600,1800,2200,2400,3000,3300,3300,1001,0,580.0,738.6970961274887,90.19909700145945,3251.439836982172,2788448.7792207794
1760857493,95,,Aggregated,53.100000,0.000000,590,830,1000,1200,1500,1800,2200,2400,3000,3300,3300,1030,0,590.0,750.7464588704537,90.19909700145945,3251.439836982172,2787133.672815534
1760857494,100,,Aggregated,54.300000,0.000000,640,920,1200,1300,1700,2100,2500,3000,3200,3300,3300,1123,0,640.0,840.0734612881082,90.19909700145945,3251.439836982172,2793517.911843277
1760857495,100,,Aggregated,51.700000,0.000000,710,1000,1200,1300,1800,2200,2500,3000,3200,3300,3300,1210,0,710.0,873.2930410786124,90.19909700145945,3251.439836982172,2796543.0165289254
1760857497,100,,Aggregated,50.400000,0.000000,760,1000,1200,1400,1700,2100,2500,3000,3200,3300,3300,1285,0,760.0,891.405652749401,90.19909700145945,3251.439836982172,2798382.371206226
1760857498,100,,Aggregated,54.000000,0.000000,790,1100,1300,1400,1800,2100,2500,3000,3200,3300,3300,1329,0,790.0,911.8599323460347,90.19909700145945,3251.439836982172,2798573.8510158015
1760857499,100,,Aggregated,53.600000,0.000000,850,1200,1400,1500,1900,2200,2600,3000,3300,3300,3300,1435,0,850.0,968.9725035634006,90.19909700145945,3265.6631669960916,2798171.4020905923
1760857500,100,,Aggregated,55.500000,0.000000,890,1200,1400,1500,1900,2200,2600,3000,3300,3300,3300,1490,0,880.0,978.9930141299662,90.19909700145945,3265.6631669960916,2798456.0201342283
1760857501,100,,Aggregated,56.200000,0.000000,910,1200,1400,1500,1900,2200,2500,3000,3300,3300,3300,1551,0,910.0,987.1777747765614,90.19909700145945,3265.6631669960916,2790935.7730496456
1760857503,100,,Aggregated,59.700000,0.000000,960,1200,1500,1600,2000,2400,2800,3100,3700,3800,3800,1655,0,960.0,1050.2021556333962,90.19909700145945,3776.884427003097,2797307.2066465258
1760857504,100,,Aggregated,56.800000,0.000000,970,1200,1500,1600,2000,2400,2800,3100,3700,3800,3800,1689,0,970.0,1058.4096323335934,90.19909700145945,3776.884427003097,2794109.8969804617
1760857505,100,,Aggregated,60.800000,0.000000,1000,1300,1500,1600,2000,2400,2800,3100,3700,3800,3800,1796,0,1000.0,1090.6402720719211,90.19909700145945,3776.884427003097,2792044.0467706015
1760857507,100,,Aggregated,58.200000,0.000000,1000,1300,1500,1600,2000,2400,2700,3100,3700,3800,3800,1826,0,1000.0,1094.3653129706406,90.19909700145945,3776.884427003097,2788142.794633078
1760857508,100,,Aggregated,58.600000,0.000000,1100,1300,1600,1700,2100,2400,2700,3100,3700,3800,3800,1916,0,1100.0,1127.866148904163,90.19909700145945,3776.884427003097,2790248.20302714
1760857509,100,,Aggregated,54.200000,0.000000,1100,1400,1500,1700,2100,2400,2700,3100,3700,3800,3800,1952,0,1100.0,1133.0558073184309,90.19909700145945,3776.884427003097,2785471.6198770492
1760857510,100,,Aggregated,56.900000,0.000000,1100,1400,1600,1700,2200,2400,2700,3100,3500,3800,3800,2037,0,1100.0,1164.5222885251444,90.19909700145945,3776.884427003097,2791771.4437898872
1760857511,100,,Aggregated,53.400000,0.000000,1100,1400,1600,1700,2100,2400,2700,3100,3500,3800,3800,2069,0,1100.0,1166.6004370693818,90.19909700145945,3776.884427003097,2786502.0144997584
1760857513,100,,Aggregated,53.600000,0.000000,1200,1400,1600,1800,2200,2400,2800,3000,3500,3800,3800,2166,0,1200.0,1191.5551746115598,90.19909700145945,3776.884427003097,2796150.781163435
1760857514,100,,Aggregated,52.300000,0.000000,1200,1400,1600,1800,2200,2400,2800,3100,3500,3800,3800,2204,0,1200.0,1197.5739060139124,90.19909700145945,3776.884427003097,2793663.6728675137
1760857515,100,,Aggregated,52.100000,0.000000,1200,1500,1700,1800,2200,2400,2800,3100,3500,3800,3800,2288,0,1200.0,1216.930932196637,90.19909700145945,3776.884427003097,2793412.3981643356
1760857516,100,,Aggregated,51.100000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2341,0,1200.0,1223.1792849367218,90.19909700145945,3776.884427003097,2793907.9008970526
1760857517,100,,Aggregated,52.200000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2418,0,1200.0,1237.7759764147231,90.19909700145945,3776.884427003097,2793708.0322580645
1760857518,100,,Aggregated,50.800000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2463,0,1200.0,1237.3345026593865,90.19909700145945,3776.884427003097,2796127.2488834755
1760857520,100,,Aggregated,53.000000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2546,0,1200.0,1243.2376852871798,90.19909700145945,3776.884427003097,2791471.780439906
1760857521,100,,Aggregated,54.100000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2610,0,1200.0,1253.2569785729288,90.19909700145945,3776.884427003097,2794844.942528736
1760857522,100,,Aggregated,55.500000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2673,0,1200.0,1252.9737333809753,90.19909700145945,3776.884427003097,2794038.154882155
1760857523,100,,Aggregated,55.400000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2766,0,1200.0,1263.3808392216579,90.19909700145945,3776.884427003097,2793669.500723066
1760857524,100,,Aggregated,57.100000,0.000000,1200,1500,1700,1800,2200,2400,2800,3000,3500,3800,3800,2835,0,1200.0,1264.036135519941,90.19909700145945,3776.884427003097,2797003.442680776
