Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760856156,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760856157,5,,Aggregated,0.000000,0.000000,320,350,360,360,390,400,400,400,400,400,400,11,0,320.0,335.547845995858,294.76808302570134,397.7569950511679,2453556.090909091
1760856158,10,,Aggregated,0.000000,0.000000,360,430,450,460,470,490,490,490,490,490,490,33,0,360.0,387.5627856063092,294.76808302570134,493.8532280502841,2892088.909090909
1760856159,15,,Aggregated,6.000000,0.000000,430,470,560,630,700,770,780,840,840,840,840,56,0,430.0,470.48486735522084,294.76808302570134,837.4075769679621,2989908.8571428573
1760856160,20,,Aggregated,12.500000,0.000000,470,630,700,780,880,950,970,990,990,990,990,73,0,470.0,552.3146422586263,294.76808302570134,988.1471990374848,3055187.109589041
1760856161,25,,Aggregated,14.333333,0.000000,630,750,850,870,950,990,1000,1100,1100,1100,1100,95,0,630.0,620.2916720826914,294.76808302570134,1057.53537802957,3031442.357894737
1760856162,30,,Aggregated,15.750000,0.000000,690,860,920,970,1100,1100,1200,1200,1200,1200,1200,112,0,670.0,689.9257056517984,294.76808302570134,1224.6616799966432,3014838.723214286
1760856163,35,,Aggregated,17.200000,0.000000,840,980,1100,1200,1500,1600,1700,1700,1800,1800,1800,139,0,840.0,847.7088429863738,294.76808302570134,1772.7611290174536,2989941.5395683455
1760856164,40,,Aggregated,18.166667,0.000000,870,1100,1300,1400,1500,1600,1700,1800,1900,1900,1900,152,0,870.0,898.7724875600849,294.76808302570134,1929.1131930076517,3043860.2039473685
1760856165,45,,Aggregated,18.142857,0.000000,970,1300,1500,1600,1800,2000,2000,2100,2200,2200,2200,178,0,950.0,1041.4911578769083,294.76808302570134,2186.5708570112474,3036880.8146067415
1760856166,50,,Aggregated,18.750000,0.000000,1000,1400,1600,1700,1900,2100,2200,2200,2400,2400,2400,192,0,1000.0,1107.4806970430775,294.76808302570134,2411.5684720454738,3040907.1614583335
1760856167,55,,Aggregated,18.444444,0.000000,1100,1500,1700,1800,2000,2200,2400,2600,2900,2900,2900,212,0,1100.0,1193.4331949547104,294.76808302570134,2926.6958700027317,3027799.5424528304
