Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760940596,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760940597,5,,Aggregated,0.000000,0.000000,310,330,330,350,350,350,350,350,350,350,350,5,0,310.0,264.14899826049805,135.60795783996582,352.08892822265625,4889525.6
1760940598,10,,Aggregated,0.000000,0.000000,310,350,390,390,750,780,780,780,780,780,780,11,0,310.0,345.96339139071375,135.60795783996582,776.1847972869873,4400960.545454546
1760940599,15,,Aggregated,0.000000,0.000000,320,350,390,390,750,780,780,780,780,780,780,18,0,310.0,316.91850556267633,53.96914482116699,776.1847972869873,4285206.944444444
1760940600,20,,Aggregated,0.000000,0.000000,320,350,390,390,750,780,780,780,780,780,780,18,0,310.0,316.91850556267633,53.96914482116699,776.1847972869873,4285206.944444444
1760940601,25,,Aggregated,6.000000,0.000000,350,420,780,820,1200,1300,1800,1800,1800,1800,1800,23,0,350.0,509.6759381501571,53.96914482116699,1833.118200302124,4266461.695652174
1760940602,30,,Aggregated,6.000000,0.000000,370,750,820,970,1200,1300,1800,1800,1800,1800,1800,25,0,370.0,550.8711624145508,53.96914482116699,1833.118200302124,4194536.76
1760940603,35,,Aggregated,4.400000,0.000000,420,970,1200,1300,1900,3000,3600,3600,3600,3600,3600,31,0,420.0,866.9600948210685,53.96914482116699,3574.110984802246,4083421.3870967743
1760940604,40,,Aggregated,4.166667,0.000000,1200,1800,2300,2600,3300,3600,4800,4800,4800,4800,4800,45,0,1200.0,1458.7113698323567,53.96914482116699,4849.44486618042,3998016.355555556
1760940605,45,,Aggregated,4.166667,0.000000,1200,1900,2300,3000,3600,4800,4800,5500,5500,5500,5500,53,0,1200.0,1641.6586929897092,53.96914482116699,5539.134502410889,3964506.679245283
1760940606,50,,Aggregated,5.500000,0.000000,1200,1900,2300,3000,4300,4800,5500,5800,5800,5800,5800,57,0,1200.0,1690.5396863033898,53.96914482116699,5793.240070343018,3899536.49122807
1760940607,55,,Aggregated,5.888889,0.000000,1500,2100,2500,3000,4600,5300,5800,7000,7000,7000,7000,68,0,1400.0,1836.9248509407043,53.96914482116699,6952.818870544434,3801813.8088235296
1760940608,60,,Aggregated,5.888889,0.000000,1400,2100,2500,3000,4600,5300,5800,7000,7000,7000,7000,69,0,1400.0,1821.7677206232927,53.96914482116699,6952.818870544434,3830514.0289855073
1760940609,65,,Aggregated,6.200000,0.000000,1600,2200,2600,3000,4600,5300,5800,7000,7000,7000,7000,74,0,1500.0,1917.122441369134,53.96914482116699,6952.818870544434,3905630.5405405406
1760940610,70,,Aggregated,6.200000,0.000000,1700,2300,2700,3100,4800,5500,6100,7000,7000,7000,7000,78,0,1700.0,2020.4482078552246,53.96914482116699,6952.818870544434,3918092.8205128205
1760940611,75,,Aggregated,6.000000,0.000000,1700,2300,2700,3100,4800,5500,6100,7000,7000,7000,7000,80,0,1600.0,2006.1573773622513,53.96914482116699,6952.818870544434,3943786.7375
1760940612,80,,Aggregated,6.000000,0.000000,1700,2400,3000,3600,5300,5900,7000,9900,9900,9900,9900,85,0,1700.0,2235.611006792854,53.96914482116699,9859.89761352539,3973864.0470588235
1760940613,85,,Aggregated,5.800000,0.000000,2100,2800,3700,4500,5900,6800,7900,9900,9900,9900,9900,101,0,2100.0,2632.5587258480564,53.96914482116699,9888.0033493042,3910051.2475247523
1760940614,90,,Aggregated,5.500000,0.000000,2200,2900,3900,4600,6000,6800,7900,9900,9900,9900,9900,102,0,2100.0,2672.6229073954564,53.96914482116699,9888.0033493042,3899931.5098039214
1760940615,95,,Aggregated,6.600000,0.000000,2300,3000,4500,5100,6800,7900,9900,9900,12000,12000,12000,107,0,2300.0,2940.298303265438,53.96914482116699,11671.359062194824,3870872.7476635515
1760940616,100,,Aggregated,6.600000,0.000000,2300,3000,4400,4800,6700,7900,9900,9900,12000,12000,12000,111,0,2300.0,2925.5228987685196,53.96914482116699,11671.359062194824,3879096.2882882883
1760940617,100,,Aggregated,5.700000,0.000000,2300,3000,4500,5100,6800,7900,9900,12000,14000,14000,14000,112,0,2300.0,3021.116101316043,53.96914482116699,13631.961584091187,3893656.6785714286
1760940618,100,,Aggregated,5.600000,0.000000,2500,3900,5500,6300,7900,11000,13000,14000,18000,18000,18000,124,0,2400.0,3656.3573768061974,53.96914482116699,17703.69243621826,3890415.0322580645
1760940619,100,,Aggregated,4.500000,0.000000,2700,4800,6200,6800,9900,12000,14000,15000,18000,18000,18000,135,0,2700.0,4084.6530437469482,53.96914482116699,17703.69243621826,3882557.6814814815
1760940620,100,,Aggregated,4.500000,0.000000,2800,5100,6200,7000,9900,12000,14000,15000,18000,18000,18000,138,0,2800.0,4177.260595819224,53.96914482116699,17703.69243621826,3870909.884057971
1760940621,100,,Aggregated,6.400000,0.000000,3000,5200,6700,7100,9900,12000,14000,15000,18000,18000,18000,142,0,2900.0,4272.109310391923,53.96914482116699,17703.69243621826,3897879.676056338
1760940622,100,,Aggregated,5.800000,0.000000,3300,5900,6800,7400,10000,12000,14000,18000,18000,18000,18000,154,0,3100.0,4616.704546011888,53.96914482116699,18135.290145874023,3943838.4545454546
1760940623,100,,Aggregated,6.000000,0.000000,3400,6000,7000,7700,10000,12000,14000,18000,18000,18000,18000,158,0,3300.0,4716.254655318924,53.96914482116699,18135.290145874023,3966810.810126582
1760940624,100,,Aggregated,6.700000,0.000000,3800,6200,7100,7900,11000,12000,15000,18000,18000,18000,18000,164,0,3700.0,4879.129581335114,53.96914482116699,18237.451791763306,3942554.81097561
1760940625,100,,Aggregated,6.100000,0.000000,4200,6300,7400,8300,12000,14000,18000,19000,26000,26000,26000,172,0,3900.0,5247.919847798902,53.96914482116699,25622.4684715271,3925259.9360465114
1760940626,100,,Aggregated,6.100000,0.000000,4400,6500,7400,8400,12000,14000,18000,19000,26000,26000,26000,178,0,4300.0,5353.054152445847,53.96914482116699,25622.4684715271,3910819.9438202246
1760940627,100,,Aggregated,6.400000,0.000000,4600,6700,7700,9200,12000,14000,18000,19000,26000,26000,26000,183,0,4600.0,5447.644202435603,53.96914482116699,25622.4684715271,3899385.956284153
1760940628,100,,Aggregated,6.200000,0.000000,5000,6800,8000,9400,12000,18000,21000,23000,26000,26000,26000,195,0,5000.0,5943.139762144822,53.96914482116699,25622.4684715271,3877783.2461538464
1760940629,100,,Aggregated,6.800000,0.000000,5000,6800,8000,9400,12000,18000,21000,23000,26000,26000,26000,196,0,4900.0,5937.263365910978,53.96914482116699,25622.4684715271,3879608.9030612246
1760940630,100,,Aggregated,7.400000,0.000000,5100,6900,8200,9900,12000,18000,21000,23000,26000,26000,26000,201,0,5100.0,6039.474674718297,53.96914482116699,25622.4684715271,3876916.263681592
1760940631,100,,Aggregated,6.100000,0.000000,5200,6800,8000,9900,12000,18000,21000,23000,26000,26000,26000,213,0,5200.0,6129.339079341978,53.96914482116699,25622.4684715271,3931277.6619718308
1760940632,100,,Aggregated,6.100000,0.000000,5400,7100,9200,10000,13000,18000,23000,23000,26000,26000,26000,228,0,5300.0,6346.430546359012,53.96914482116699,25622.4684715271,3951343.9780701753
1760940633,100,,Aggregated,6.500000,0.000000,5500,7300,9400,10000,14000,19000,23000,23000,26000,26000,26000,234,0,5500.0,6607.218828975645,53.96914482116699,25622.4684715271,3971989.4273504275
1760940634,100,,Aggregated,7.200000,0.000000,5500,7300,9400,10000,14000,19000,23000,23000,26000,26000,26000,242,0,5500.0,6639.8461879777515,53.96914482116699,25622.4684715271,3958728.7975206613
1760940635,100,,Aggregated,7.600000,0.000000,5600,7400,9400,11000,15000,20000,23000,26000,30000,30000,30000,251,2,5600.0,6899.419812092268,53.96914482116699,30043.16759109497,3967700.537848606
1760940636,100,,Aggregated,7.300000,0.000000,5800,7400,9400,11000,16000,21000,23000,30000,30000,30000,30000,258,3,5600.0,6993.693531945694,53.96914482116699,30043.16759109497,3954270.201550388
