Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762365417,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762365418,5,,Aggregated,0.000000,0.000000,390,400,410,420,440,440,440,440,440,440,440,10,0,390.0,386.88846519216895,334.65553005225956,435.52277493290603,2653614.1
1762365419,10,,Aggregated,0.000000,0.000000,390,410,420,420,440,460,470,470,470,470,470,32,0,390.0,394.2172520473832,334.65553005225956,467.2741461545229,3006702.875
1762365420,15,,Aggregated,5.000000,0.000000,420,440,450,460,480,520,540,550,550,550,550,60,0,420.0,419.8339195378746,334.65553005225956,548.1450241059065,2916596.4166666665
1762365421,20,,Aggregated,12.500000,0.000000,450,470,480,500,540,560,590,630,630,630,630,97,0,450.0,449.6450211094289,334.65553005225956,633.6965158116072,2918162.402061856
1762365422,25,,Aggregated,17.666667,0.000000,470,500,520,530,560,600,620,630,690,690,690,139,0,470.0,472.76061623719045,334.65553005225956,693.442712072283,2946765.5323741008
1762365423,30,,Aggregated,21.500000,0.000000,490,530,550,570,610,630,690,740,770,770,770,187,0,490.0,499.5764592777001,334.65553005225956,766.034928848967,2891461.3903743317
1762365424,35,,Aggregated,25.400000,0.000000,530,560,570,600,630,660,760,820,930,930,930,243,0,530.0,524.9005242168458,334.65553005225956,931.199484039098,2882985.868312757
1762365425,40,,Aggregated,28.833333,0.000000,550,590,620,630,680,760,870,930,940,940,940,295,0,550.0,552.1284199303994,334.65553005225956,939.9340208619833,2849766.4305084744
1762365426,45,,Aggregated,31.857143,0.000000,570,620,660,680,760,860,930,940,1100,1100,1100,352,0,570.0,585.2479864896105,334.65553005225956,1066.4122852031142,2878834.8323863638
1762365427,50,,Aggregated,34.375000,0.000000,590,650,690,730,830,930,1000,1100,1700,1700,1700,403,0,590.0,616.8099313058079,334.65553005225956,1679.3699921108782,2869122.617866005
1762365428,55,,Aggregated,35.888889,0.000000,620,690,760,810,920,1000,1100,1200,1700,1700,1700,456,0,610.0,651.4016212042822,334.65553005225956,1679.3699921108782,2875917.1864035088
1762365429,60,,Aggregated,37.600000,0.000000,640,730,810,870,1000,1100,1400,1700,1900,1900,1900,506,0,640.0,693.0676252491912,334.65553005225956,1877.724580001086,2890516.962450593
1762365430,65,,Aggregated,42.000000,0.000000,650,780,860,910,1000,1100,1400,1700,1900,1900,1900,546,0,650.0,718.4922478780928,334.65553005225956,1877.724580001086,2900222.053113553
1762365431,70,,Aggregated,44.900000,0.000000,680,820,920,990,1100,1400,1700,1900,2200,2200,2200,597,0,680.0,764.0079309757474,334.65553005225956,2199.620606843382,2914431.753768844
1762365432,75,,Aggregated,46.800000,0.000000,700,860,970,1000,1200,1500,1900,2100,2900,2900,2900,627,0,700.0,803.807150823936,334.65553005225956,2875.7786790374666,2927492.5406698566
1762365433,80,,Aggregated,47.900000,0.000000,740,920,1100,1100,1500,1700,1900,2200,2900,2900,2900,680,0,740.0,862.3899559058962,334.65553005225956,2875.7786790374666,2908427.0102941175
1762365434,85,,Aggregated,48.400000,0.000000,780,990,1100,1200,1600,1800,2200,2800,3700,3700,3700,732,0,770.0,909.3222737117019,334.65553005225956,3706.6469078417867,2904024.538251366
1762365435,90,,Aggregated,46.700000,0.000000,810,1000,1200,1300,1600,1800,2300,2800,3700,3700,3700,784,0,810.0,945.0450559516142,334.65553005225956,3706.6469078417867,2904435.2908163266
1762365436,95,,Aggregated,47.000000,0.000000,860,1100,1200,1400,1600,1800,2300,2800,3700,3700,3700,839,0,860.0,976.7366681304561,334.65553005225956,3706.6469078417867,2906943.9237187128
1762365438,100,,Aggregated,47.000000,0.000000,910,1100,1300,1400,1700,1900,2400,2900,3800,3800,3800,900,0,910.0,1018.8747600817846,334.65553005225956,3757.214009994641,2902250.952222222
1762365439,100,,Aggregated,46.500000,0.000000,970,1200,1400,1500,1700,2000,2800,3000,3800,3800,3800,957,0,970.0,1056.5620840898382,334.65553005225956,3757.214009994641,2894084.9111807733
1762365440,100,,Aggregated,47.200000,0.000000,1000,1300,1400,1500,1700,2100,2800,3000,3700,3800,3800,1021,0,1000.0,1090.5344482806825,334.65553005225956,3757.214009994641,2886387.126346719
1762365442,100,,Aggregated,47.200000,0.000000,1100,1300,1500,1600,1900,2200,2800,3100,3700,3800,3800,1104,0,1100.0,1144.6869917906924,334.65553005225956,3757.214009994641,2879850.592391304
1762365443,100,,Aggregated,48.600000,0.000000,1100,1400,1500,1600,1900,2200,2800,3100,3700,3800,3800,1143,0,1100.0,1165.3134005917489,334.65553005225956,3757.214009994641,2883371.7707786527
1762365444,100,,Aggregated,49.300000,0.000000,1100,1400,1600,1700,1900,2200,2800,3100,3700,3800,3800,1190,0,1100.0,1192.2574845432234,334.65553005225956,3757.214009994641,2884121.9462184873
1762365445,100,,Aggregated,50.100000,0.000000,1100,1400,1600,1700,2100,2400,2900,3100,3800,4000,4000,1240,0,1100.0,1237.9916308549114,334.65553005225956,4035.966971889138,2894659.577419355
1762365446,100,,Aggregated,48.400000,0.000000,1200,1500,1700,1800,2100,2500,3000,3300,3900,4000,4000,1289,0,1200.0,1271.1494631530272,334.65553005225956,4035.966971889138,2900001.650116369
1762365447,100,,Aggregated,48.500000,0.000000,1200,1500,1700,1800,2100,2500,3000,3300,3900,4000,4000,1311,0,1200.0,1280.738436805921,334.65553005225956,4035.966971889138,2901108.9588100687
1762365448,100,,Aggregated,48.300000,0.000000,1200,1600,1700,1800,2200,2500,3000,3300,3900,4000,4000,1370,0,1200.0,1316.442422390691,334.65553005225956,4035.966971889138,2888645.386861314
1762365449,100,,Aggregated,45.600000,0.000000,1300,1600,1700,1900,2200,2700,3100,3300,4000,4100,4100,1420,0,1300.0,1344.5506188379024,334.65553005225956,4053.925858112052,2887049.0795774646
1762365450,100,,Aggregated,45.000000,0.000000,1300,1600,1800,1900,2200,2700,3100,3600,4000,4100,4100,1465,0,1300.0,1364.5382073108717,334.65553005225956,4053.925858112052,2900739.933105802
1762365451,100,,Aggregated,45.500000,0.000000,1300,1600,1800,1900,2200,2700,3100,3400,4000,4100,4100,1519,0,1300.0,1381.4471583413983,334.65553005225956,4053.925858112052,2895741.86240948
1762365453,100,,Aggregated,42.400000,0.000000,1400,1700,1800,2000,2300,2800,3100,3600,4000,4100,4100,1602,0,1400.0,1417.7867141722315,334.65553005225956,4053.925858112052,2890358.54494382
1762365454,100,,Aggregated,42.100000,0.000000,1400,1700,1800,2000,2300,2800,3200,3700,4100,4400,4400,1638,0,1400.0,1427.675147535608,334.65553005225956,4394.248732831329,2893016.181929182
1762365455,100,,Aggregated,43.800000,0.000000,1400,1700,1800,2000,2300,2800,3100,3700,4100,4400,4400,1681,0,1400.0,1439.6319402504218,334.65553005225956,4394.248732831329,2887266.461629982
1762365457,100,,Aggregated,42.600000,0.000000,1400,1700,1900,2000,2400,2900,3300,3600,4100,4400,4400,1763,0,1400.0,1473.8858284809592,334.65553005225956,4394.248732831329,2884041.0328984684
1762365458,100,,Aggregated,43.000000,0.000000,1500,1700,1900,2000,2400,2900,3300,3600,4100,4400,4400,1807,0,1500.0,1481.9874963697353,334.65553005225956,4394.248732831329,2882244.6153846155
