Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762271408,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762271409,5,,Aggregated,0.000000,0.000000,120,120,130,130,140,160,160,160,160,160,160,38,0,110.0,115.83348553578712,80.12294513173401,163.98814716376364,1820037.2105263157
1762271410,10,,Aggregated,0.000000,0.000000,130,140,150,160,180,220,240,250,250,250,250,98,0,130.0,136.97439495816218,80.12294513173401,251.46181602030993,1716311.9081632653
1762271411,15,,Aggregated,5.000000,0.000000,150,170,180,190,220,250,260,280,280,280,280,169,0,150.0,157.6239163532699,80.12294513173401,281.3352420926094,1691587.6568047337
1762271412,20,,Aggregated,24.000000,0.000000,170,180,200,210,230,250,280,300,330,330,330,268,0,160.0,167.95430560995922,80.12294513173401,325.1955488231033,1700642.2313432836
1762271413,25,,Aggregated,36.333333,0.000000,180,200,220,230,260,300,370,380,400,400,400,362,0,180.0,185.68870503499136,80.12294513173401,397.3802118562162,1712644.4834254144
1762271414,30,,Aggregated,45.750000,0.000000,190,220,230,250,290,330,380,400,460,460,460,466,0,190.0,199.41867276018908,80.12294513173401,456.0551780741662,1712932.2360515022
1762271415,35,,Aggregated,54.800000,0.000000,200,230,250,270,310,370,400,460,560,560,560,571,0,200.0,214.47683780840654,80.12294513173401,562.106162076816,1714193.5901926444
1762271417,40,,Aggregated,67.428571,0.000000,220,260,290,300,360,400,500,600,730,730,730,686,0,220.0,236.89853848750994,80.12294513173401,730.0818040966988,1719325.0495626822
1762271418,45,,Aggregated,71.875000,0.000000,240,280,310,330,390,460,550,620,730,730,730,792,0,240.0,253.93777522064434,80.12294513173401,730.0818040966988,1711832.9406565656
1762271419,50,,Aggregated,74.666667,0.000000,250,300,340,360,440,500,600,640,810,810,810,901,0,250.0,272.66703818285924,80.12294513173401,814.0822190325707,1710341.3562708101
1762271420,55,,Aggregated,77.100000,0.000000,260,320,360,380,460,530,630,670,810,910,910,1004,0,260.0,287.1155248951645,80.12294513173401,906.1314868740737,1701798.1992031874
1762271421,60,,Aggregated,86.700000,0.000000,280,350,390,420,500,590,680,770,870,910,910,1122,0,280.0,308.5817160867586,80.12294513173401,906.1314868740737,1705752.4188948306
