Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762253236,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762253237,5,,Aggregated,0.000000,0.000000,100,110,120,120,150,150,170,170,170,170,170,40,0,100.0,109.22277956269681,84.84634384512901,169.02461391873658,1681853.8
1762253238,10,,Aggregated,0.000000,0.000000,110,120,130,140,150,180,190,200,200,200,200,113,0,110.0,120.17963956258532,84.84634384512901,199.33555298484862,1709078.7610619469
1762253239,15,,Aggregated,25.000000,0.000000,130,140,160,170,190,200,240,260,260,260,260,200,0,130.0,136.25338593381457,84.84634384512901,260.5779350269586,1725550.64
1762253240,20,,Aggregated,41.000000,0.000000,140,160,170,180,210,230,260,290,360,360,360,298,0,140.0,150.5925274999412,84.84634384512901,356.67542298324406,1743293.288590604
1762253241,25,,Aggregated,54.000000,0.000000,160,180,200,210,240,280,320,420,460,460,460,396,0,160.0,167.85056147526836,84.84634384512901,461.4179830532521,1757647.042929293
1762253242,30,,Aggregated,63.250000,0.000000,170,200,220,240,290,360,430,530,570,570,570,489,0,170.0,188.7638702515345,84.84634384512901,572.9571608826518,1752747.9877300614
1762253243,35,,Aggregated,70.600000,0.000000,190,220,250,270,330,380,480,510,570,570,570,599,0,190.0,207.41376633917562,84.84634384512901,572.9571608826518,1764256.6444073457
1762253244,40,,Aggregated,73.500000,0.000000,210,250,280,300,360,420,530,570,650,650,650,725,0,210.0,226.85238951399666,84.84634384512901,645.3641171101481,1758218.5903448276
1762253245,45,,Aggregated,77.142857,0.000000,220,280,320,340,410,510,590,620,830,830,830,833,0,220.0,251.21204498266445,84.84634384512901,827.2697071079165,1759280.1404561824
1762253247,50,,Aggregated,81.888889,0.000000,240,300,350,370,450,540,610,650,830,830,830,937,0,240.0,267.9047096205583,84.84634384512901,827.2697071079165,1746159.310565635
1762253248,55,,Aggregated,83.700000,0.000000,260,330,370,400,490,570,650,710,810,830,830,1064,0,260.0,289.0975784056967,84.84634384512901,827.2697071079165,1752245.0610902256
1762253249,60,,Aggregated,90.900000,0.000000,280,360,400,440,520,590,670,780,880,880,880,1162,0,280.0,306.6592506129413,84.84634384512901,884.2156729660928,1743804.1170395869
