Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762243146,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762243147,5,,Aggregated,0.000000,0.000000,270,290,310,310,310,320,320,320,320,320,320,15,0,270.0,285.3875503254433,262.65396689996123,321.9750609714538,1374803.0666666667
1762243148,10,,Aggregated,0.000000,0.000000,310,320,320,330,340,360,370,370,370,370,370,41,0,310.0,305.21689676793244,262.65396689996123,374.0346929989755,1368747.6829268292
1762243149,15,,Aggregated,10.000000,0.000000,330,360,360,360,390,400,450,450,450,450,450,79,0,330.0,334.38241997250367,262.65396689996123,452.13227393105626,1386335.8734177216
1762243150,20,,Aggregated,18.500000,0.000000,360,390,400,400,430,450,470,490,530,530,530,125,0,360.0,361.525058073923,262.65396689996123,533.8977018836886,1374351.688
1762243151,25,,Aggregated,24.333333,0.000000,380,400,410,420,450,450,480,490,530,530,530,184,0,380.0,377.0514826173894,262.65396689996123,533.8977018836886,1356993.1304347827
1762243152,30,,Aggregated,28.250000,0.000000,400,420,430,450,460,470,500,520,530,530,530,243,0,400.0,393.0530517080362,262.65396689996123,533.8977018836886,1378533.0164609053
1762243153,35,,Aggregated,33.800000,0.000000,420,440,460,470,510,550,600,610,640,640,640,308,0,410.0,416.53224316126267,262.65396689996123,637.6255068462342,1378753.6103896103
1762243154,40,,Aggregated,38.833333,0.000000,430,460,490,500,580,610,640,690,710,710,710,373,0,430.0,440.4580405983205,262.65396689996123,710.3343359194696,1391101.0107238607
1762243155,45,,Aggregated,42.714286,0.000000,450,500,550,580,620,680,720,750,840,840,840,444,0,450.0,469.89288450237615,262.65396689996123,840.6529340427369,1403176.7995495496
1762243156,50,,Aggregated,44.875000,0.000000,470,540,590,620,700,760,820,850,930,930,930,514,0,470.0,500.8158929549078,262.65396689996123,933.2885961048305,1394822.7159533075
1762243157,55,,Aggregated,47.666667,0.000000,490,590,640,680,760,820,920,950,1100,1100,1100,582,0,490.0,531.9122645121446,262.65396689996123,1109.8258418496698,1391495.3917525774
1762243158,60,,Aggregated,49.300000,0.000000,530,620,680,710,810,890,1000,1100,1400,1400,1400,650,0,520.0,561.2706382597725,262.65396689996123,1378.4852139651775,1391593.756923077
1762243159,65,,Aggregated,54.800000,0.000000,560,650,720,760,860,980,1100,1200,1400,1400,1400,715,0,560.0,589.4138961082806,262.65396689996123,1378.4852139651775,1389852.3006993006
1762243160,70,,Aggregated,58.700000,0.000000,590,690,770,820,950,1100,1200,1200,1400,1400,1400,780,0,590.0,621.8392849640132,262.65396689996123,1378.4852139651775,1386988.1871794872
1762243161,75,,Aggregated,61.800000,0.000000,610,730,820,880,1000,1100,1200,1300,1800,1800,1800,840,0,600.0,652.2724197254449,262.65396689996123,1771.9514810014516,1387673.9321428572
1762243162,80,,Aggregated,64.500000,0.000000,630,770,870,930,1100,1200,1400,1400,1800,1800,1800,909,0,630.0,685.3212134318879,262.65396689996123,1771.9514810014516,1393268.9218921892
