Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762243540,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762243541,5,,Aggregated,0.000000,0.000000,240,240,250,260,260,260,260,260,260,260,260,19,0,240.0,241.78371360329422,224.67213100753725,260.35563298501074,162513.15789473685
1762243542,10,,Aggregated,0.000000,0.000000,260,270,280,290,300,310,320,320,320,320,320,50,0,260.0,265.38776317611337,224.67213100753725,323.70099099352956,142528.12
1762243543,15,,Aggregated,10.000000,0.000000,300,310,320,330,350,360,380,380,380,380,380,94,0,300.0,295.0269833474638,224.67213100753725,381.51506008580327,136192.25531914894
1762243544,20,,Aggregated,20.000000,0.000000,320,340,350,350,370,380,390,390,420,420,420,145,0,320.0,314.72977957495584,224.67213100753725,416.7668342124671,134214.8
1762243545,25,,Aggregated,27.000000,0.000000,340,350,360,370,390,390,410,420,430,430,430,213,0,340.0,330.541887352278,224.67213100753725,426.19357793591917,132740.06572769952
1762243546,30,,Aggregated,33.000000,0.000000,350,370,390,390,410,430,440,460,470,470,470,288,0,350.0,347.065469283229,224.67213100753725,470.4414950683713,131222.93055555556
1762243547,35,,Aggregated,37.800000,0.000000,370,390,410,420,460,490,520,530,540,540,540,356,0,370.0,368.12286117255394,224.67213100753725,541.4596721529961,128121.30617977527
1762243548,40,,Aggregated,43.666667,0.000000,380,420,450,460,520,540,600,630,660,660,660,425,0,380.0,393.01330686766,224.67213100753725,661.4315421320498,129462.37411764706
1762243549,45,,Aggregated,47.857143,0.000000,390,450,500,520,590,630,680,720,750,750,750,501,0,390.0,422.8755660501946,224.67213100753725,746.9997170846909,129664.88423153693
1762243550,50,,Aggregated,51.125000,0.000000,420,500,540,560,630,680,720,770,790,790,790,573,0,420.0,448.56514783948336,224.67213100753725,790.2949061244726,130755.49040139616
1762243551,55,,Aggregated,52.777778,0.000000,450,530,590,620,680,750,800,860,910,910,910,648,0,450.0,476.7242803663751,224.67213100753725,911.2835980486125,130849.78549382716
