Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762242177,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762242178,5,,Aggregated,0.000000,0.000000,160,160,170,170,170,180,180,180,180,180,180,30,0,160.0,160.5249303005015,150.7229609414935,180.11996801942587,135484.1
1762242179,10,,Aggregated,0.000000,0.000000,160,170,170,170,180,180,200,210,210,210,210,85,0,160.0,165.09049423586796,150.7229609414935,206.0897690244019,125561.10588235295
1762242180,15,,Aggregated,10.000000,0.000000,170,180,190,200,210,220,230,240,240,240,240,161,0,170.0,177.49203569024385,150.7229609414935,237.74109804071486,124871.9751552795
1762242181,20,,Aggregated,25.500000,0.000000,180,190,200,210,220,220,230,240,240,240,240,260,0,180.0,183.74662389889215,150.7229609414935,237.74109804071486,126512.96153846153
1762242182,25,,Aggregated,39.333333,0.000000,190,200,210,210,220,230,240,240,260,260,260,382,0,190.0,188.84908092690935,150.7229609414935,261.1192490439862,126770.21204188482
1762242183,30,,Aggregated,50.500000,0.000000,190,200,210,220,230,230,240,240,260,260,260,523,0,190.0,193.37310434815902,150.7229609414935,261.26256096176803,126849.29445506692
1762242184,35,,Aggregated,62.200000,0.000000,200,210,220,220,230,240,260,260,280,280,280,681,0,200.0,199.08011191259254,150.7229609414935,276.35230403393507,125854.29955947137
1762242185,40,,Aggregated,74.000000,0.000000,200,220,220,230,240,260,270,280,320,320,320,847,0,200.0,205.78611649929104,150.7229609414935,318.67084302939475,125630.32585596222
1762242186,45,,Aggregated,84.428571,0.000000,210,220,230,240,260,270,300,310,330,330,330,1022,0,210.0,213.20297968584805,150.7229609414935,331.5448621287942,125684.61350293542
1762242187,50,,Aggregated,94.125000,0.000000,220,230,240,250,270,290,310,320,340,340,340,1208,0,220.0,220.78964653631536,150.7229609414935,339.70349794253707,126361.1713576159
1762242188,55,,Aggregated,102.777778,0.000000,220,240,260,260,300,320,350,370,430,450,450,1377,0,220.0,230.73270025689456,150.7229609414935,451.38673880137503,127408.5410312273
