Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760904017,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760904018,5,,Aggregated,0.000000,0.000000,38,41,42,44,48,58,64,65,66,66,66,119,0,38,40.02741100794847,31.48964501451701,65.91063301311806,176911.02521008404
1760904019,10,,Aggregated,0.000000,0.000000,46,49,51,53,58,62,78,83,100,100,100,309,0,46,46.65549895420978,30.134906992316246,101.53040697332472,177686.5080906149
1760904020,15,,Aggregated,0.000000,0.000000,52,61,67,73,86,100,120,130,180,180,180,499,0,52,58.24536895848352,30.134906992316246,179.80183800682425,175467.1122244489
1760904021,20,,Aggregated,61.000000,0.000000,62,77,87,93,110,130,150,160,200,200,200,690,0,62,69.79717612030336,30.134906992316246,197.75653997203335,174167.2231884058
1760904022,25,,Aggregated,104.333333,0.000000,73,91,100,110,130,150,200,230,330,330,330,885,0,73,82.08904909917106,30.134906992316246,330.9782979777083,174419.00677966102
1760904023,30,,Aggregated,125.500000,0.000000,86,110,120,130,160,200,230,250,310,330,330,1075,0,86,94.29995264922984,30.134906992316246,330.9782979777083,174438.60558139536
1760904024,35,,Aggregated,138.400000,0.000000,95,120,130,150,180,220,260,280,370,400,400,1245,0,95,104.72709643593747,30.134906992316246,400.2835489809513,173526.3437751004
1760904025,40,,Aggregated,148.166667,0.000000,100,120,140,160,210,250,330,680,920,940,940,1433,0,100.0,120.1798252143786,30.134906992316246,935.0846810266376,174035.32240055827
1760904026,45,,Aggregated,154.857143,0.000000,110,140,170,190,240,290,380,550,920,940,940,1624,0,110.0,133.71971399138945,30.134906992316246,935.0846810266376,174499.85714285713
1760904027,50,,Aggregated,155.750000,0.000000,120,150,180,190,240,310,430,730,990,1200,1200,1807,0,120.0,142.0386514510028,30.134906992316246,1228.8693459704518,174712.93691200885
1760904028,55,,Aggregated,159.222222,0.000000,120,160,190,210,290,390,670,890,1200,1300,1300,1987,0,120.0,161.10237693456511,30.134906992316246,1264.7320050164126,175527.94765978862
1760904029,60,,Aggregated,162.900000,0.000000,130,180,210,230,320,410,590,880,1200,1300,1300,2158,0,130.0,171.83908640946592,30.134906992316246,1264.7320050164126,175035.98146431881
1760904030,65,,Aggregated,181.800000,0.000000,140,190,220,250,350,440,730,940,1600,1600,1600,2326,0,140.0,184.54223858588554,30.134906992316246,1607.0166410063393,174595.8052450559
1760904031,70,,Aggregated,186.900000,0.000000,150,210,250,280,390,480,730,1000,1700,1800,1800,2533,0,150.0,201.81497048932314,30.134906992316246,1772.4487310042605,173857.454401895
1760904032,75,,Aggregated,185.000000,0.000000,160,220,260,290,400,480,750,1000,1700,1800,1800,2708,0,160.0,208.17752367817468,30.134906992316246,1772.4487310042605,173958.22267355982
1760904033,80,,Aggregated,182.600000,0.000000,170,230,280,320,420,520,820,1100,2000,2100,2100,2871,0,170.0,222.45975908747,30.134906992316246,2136.761399975512,174264.12121212122
1760904034,85,,Aggregated,184.700000,0.000000,180,250,300,340,440,540,890,1500,2300,2400,2400,3063,0,180.0,240.18819020109598,30.134906992316246,2370.763002021704,174020.62553052563
1760904035,90,,Aggregated,182.400000,0.000000,190,260,320,350,450,560,940,1500,2300,2400,2400,3245,0,190.0,249.62010186921464,30.134906992316246,2370.763002021704,173988.78828967642
1760904036,95,,Aggregated,178.900000,0.000000,200,280,340,390,500,630,1000,1700,2300,2400,2400,3420,0,200.0,268.79880117214685,30.134906992316246,2370.763002021704,174123.28771929824
