Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762245544,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762245545,5,,Aggregated,0.000000,0.000000,48,52,53,55,62,68,73,74,74,74,74,93,0,48,50.30654822426137,39.04524305835366,73.56062578037381,295012.20430107525
1762245546,10,,Aggregated,0.000000,0.000000,51,53,55,56,62,71,74,80,84,84,84,271,0,51,52.133738298683916,39.04524305835366,84.02124489657581,293827.2398523985
1762245547,15,,Aggregated,76.000000,0.000000,54,58,61,64,72,80,87,93,110,110,110,501,0,54,56.895976793671586,39.04524305835366,114.31618710048497,296777.60479041917
1762245548,20,,Aggregated,119.500000,0.000000,59,64,67,70,77,85,96,100,120,120,120,784,0,59,60.91481424649531,39.04524305835366,123.50896210409701,294922.9362244898
1762245549,25,,Aggregated,153.000000,0.000000,63,69,73,76,85,96,110,120,140,140,140,1087,0,63,65.74447653808981,39.04524305835366,142.0997551176697,295385.54645814165
1762245550,30,,Aggregated,182.250000,0.000000,67,74,79,83,96,110,130,140,190,200,200,1409,0,67,70.7899192812462,39.04524305835366,197.3375480156392,293127.4151880767
1762245551,35,,Aggregated,204.000000,0.000000,71,80,88,94,110,130,150,170,220,230,230,1719,0,71,77.32737834422853,39.04524305835366,233.12123399227858,292186.4787667248
1762245552,40,,Aggregated,222.666667,0.000000,75,87,96,100,120,150,170,180,230,230,230,2037,0,75,83.08654769278503,39.04524305835366,233.48273895680904,291067.0068728522
1762245553,45,,Aggregated,234.857143,0.000000,81,96,110,110,130,150,180,190,230,260,260,2397,0,81,88.51510032441841,39.04524305835366,255.575240124017,291011.008343763
1762245554,50,,Aggregated,245.625000,0.000000,86,100,120,120,150,170,200,220,280,290,290,2721,0,86,94.84314066054999,39.04524305835366,294.2390269599855,290605.45644983463
