Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761225753,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761225754,5,,Aggregated,0.000000,0.000000,26,28,29,31,33,35,38,43,45,45,45,173,0,26,26.19499091302567,15.488535005715676,44.70179100462701,562131.5722543353
1761225755,10,,Aggregated,0.000000,0.000000,31,35,38,39,45,49,62,66,72,72,72,426,0,31,32.53840276738629,15.488535005715676,71.7964799987385,569685.2629107981
1761225756,15,,Aggregated,0.000000,0.000000,37,43,46,50,61,67,77,85,110,110,110,688,0,37,39.610803110219926,15.488535005715676,106.46921199804638,572099.8546511628
1761225758,20,,Aggregated,142.666667,0.000000,43,50,57,63,75,95,120,140,170,170,170,956,0,43,47.908495707983185,15.488535005715676,167.7142419939628,569129.3849372385
1761225759,25,,Aggregated,172.250000,0.000000,48,57,64,68,81,99,110,130,160,170,170,1293,0,48,52.07059742676307,15.488535005715676,167.7142419939628,572997.6952822893
1761225760,30,,Aggregated,191.000000,0.000000,54,64,69,73,88,100,120,140,180,190,190,1653,0,54,56.66772944824046,15.488535005715676,187.6845739898272,574497.2565033273
1761225761,35,,Aggregated,215.333333,0.000000,59,69,75,79,95,110,140,160,260,270,270,2004,0,59,61.74459296268693,15.488535005715676,265.3290980088059,574931.9001996008
1761225762,40,,Aggregated,235.142857,0.000000,63,74,82,88,100,120,150,160,260,270,270,2359,0,63,66.46029836003942,15.488535005715676,265.3290980088059,576311.5684612123
1761225763,45,,Aggregated,249.125000,0.000000,67,80,91,96,110,130,160,180,260,280,280,2721,0,67,71.99854776529033,15.488535005715676,280.59249999932945,575732.5538404998
1761225764,50,,Aggregated,261.777778,0.000000,72,88,99,100,120,140,160,180,260,280,280,3111,0,72,76.78438550225432,15.488535005715676,280.59249999932945,575331.4731597557
1761225765,55,,Aggregated,270.900000,0.000000,77,96,110,110,130,150,180,190,260,280,280,3486,0,77,81.80750971412978,15.488535005715676,280.59249999932945,575482.1090074584
1761225766,60,,Aggregated,309.000000,0.000000,83,100,110,120,140,160,190,210,360,850,850,3883,0,83,87.54844254740006,15.488535005715676,852.5433510076255,576586.3360803502
1761225767,65,,Aggregated,328.500000,0.000000,89,110,120,130,150,170,200,220,310,850,850,4248,0,89,92.4569430928674,15.488535005715676,852.5433510076255,575299.0077683616
1761225768,70,,Aggregated,340.100000,0.000000,94,110,130,130,160,180,220,250,380,850,850,4655,0,94,98.74267300400682,15.488535005715676,852.5433510076255,573933.6139634801
1761225769,75,,Aggregated,351.300000,0.000000,99,120,130,140,170,190,220,250,390,850,850,5056,0,99,103.54136801517794,15.488535005715676,852.5433510076255,573643.8544303797
1761225770,80,,Aggregated,361.000000,0.000000,100,130,140,150,180,200,240,270,390,850,850,5439,0,100.0,109.12483208525694,15.488535005715676,852.5433510076255,573605.1566464424
1761225771,85,,Aggregated,366.000000,0.000000,110,130,150,160,190,210,240,270,390,850,850,5829,0,110.0,114.1274961131784,15.488535005715676,852.5433510076255,574596.9668896894
1761225772,90,,Aggregated,368.100000,0.000000,110,140,160,170,200,220,260,290,390,850,850,6248,0,110.0,119.69597632070614,15.488535005715676,852.5433510076255,574250.1155569783
1761225773,95,,Aggregated,370.300000,0.000000,120,150,170,180,200,230,260,300,410,850,850,6641,0,120.0,124.66989329388484,15.488535005715676,852.5433510076255,573543.9293781057
1761225774,100,,Aggregated,372.600000,0.000000,120,160,180,190,210,230,270,310,420,850,850,7044,0,120.0,130.0284792593135,15.488535005715676,852.5433510076255,572960.5722600796
1761225775,100,,Aggregated,375.200000,0.000000,130,160,180,190,220,240,270,310,420,850,850,7444,0,130.0,134.70547391047342,15.488535005715676,852.5433510076255,573638.0920204191
1761225776,100,,Aggregated,375.700000,0.000000,140,170,190,200,230,240,270,310,420,850,850,7851,0,140.0,138.87728978495556,15.488535005715676,852.5433510076255,573870.6413195771
1761225777,100,,Aggregated,376.500000,0.000000,140,180,190,210,230,250,290,320,420,850,850,8251,0,140.0,142.97802150935271,15.488535005715676,852.5433510076255,573101.1620409647
1761225778,100,,Aggregated,378.000000,0.000000,150,180,200,210,230,250,290,320,420,850,850,8648,0,150.0,146.12449887346196,15.488535005715676,852.5433510076255,573280.7033996299
1761225779,100,,Aggregated,379.600000,0.000000,150,190,200,210,240,250,300,320,420,850,850,9034,0,150.0,149.65703821539745,15.488535005715676,852.5433510076255,574261.4136595086
1761225780,100,,Aggregated,381.700000,0.000000,160,190,210,220,240,250,300,330,420,850,850,9431,0,160.0,152.4253875943196,15.488535005715676,852.5433510076255,574262.5632488602
1761225781,100,,Aggregated,382.200000,0.000000,160,190,210,220,240,260,310,340,460,850,850,9816,0,160.0,155.27438204929305,15.488535005715676,852.5433510076255,574307.3911980441
