Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761228803,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761228804,5,,Aggregated,0.000000,0.000000,380,390,400,400,410,410,410,410,410,410,410,10,0,380.0,381.7624210991198,354.18162499263417,414.57519499817863,9420698.2
1761228805,10,,Aggregated,0.000000,0.000000,430,500,530,530,570,590,620,620,620,620,620,26,0,410.0,451.9682748449178,352.2218879952561,623.0651959922398,10279628.692307692
1761228806,15,,Aggregated,0.000000,0.000000,500,540,590,750,780,870,920,920,920,920,920,45,0,500.0,541.9028928661849,352.2218879952561,920.8870990114519,9979234.755555555
1761228807,20,,Aggregated,6.500000,0.000000,540,750,820,840,920,950,980,1100,1100,1100,1100,64,0,540.0,624.4509844375443,352.2218879952561,1073.901362993638,10208450.671875
1761228808,25,,Aggregated,10.666667,0.000000,650,810,870,910,980,1100,1100,1100,1100,1100,1100,78,0,620.0,676.9975165896959,352.2218879952561,1114.0075069997692,10150723.692307692
1761228809,30,,Aggregated,12.500000,0.000000,810,950,1100,1200,1300,1400,1400,1500,1500,1500,1500,102,0,780.0,821.1498805491525,352.2218879952561,1510.7139140018262,10360311.098039215
1761228810,35,,Aggregated,14.400000,0.000000,900,1100,1200,1200,1300,1400,1500,1500,1600,1600,1600,122,0,900.0,884.1323361315308,352.2218879952561,1632.7783550077584,10220640.844262294
1761228811,40,,Aggregated,13.333333,0.000000,1000,1200,1300,1400,1600,1800,2000,2000,2100,2100,2100,144,0,980.0,1010.2598171251884,352.2218879952561,2053.4893729927717,10091816.034722222
1761228812,45,,Aggregated,14.714286,0.000000,1100,1300,1400,1500,1700,1800,1900,2000,2100,2100,2100,163,0,1100.0,1081.9767640124753,352.2218879952561,2053.4893729927717,10065715.36809816
1761228813,50,,Aggregated,15.750000,0.000000,1200,1300,1500,1600,1900,2000,2700,3100,3300,3300,3300,176,0,1100.0,1165.9830330571078,352.2218879952561,3284.49855800136,10063441.028409092
1761228814,55,,Aggregated,16.333333,0.000000,1200,1500,1700,1900,2200,2700,3300,3300,3500,3500,3500,200,0,1200.0,1321.6867881100916,352.2218879952561,3549.8455699998885,10078376.32
1761228815,60,,Aggregated,16.600000,0.000000,1300,1700,1900,2000,2300,2700,3100,3300,3500,3500,3500,217,0,1300.0,1387.552723050676,352.2218879952561,3549.8455699998885,10060167.447004609
1761228816,65,,Aggregated,17.800000,0.000000,1300,1700,1900,2000,2300,2700,3300,3300,3900,3900,3900,224,0,1300.0,1419.7929145179191,352.2218879952561,3880.6904170050984,10077792.02232143
1761228817,70,,Aggregated,18.900000,0.000000,1500,2000,2200,2400,2900,3500,4100,4700,5500,5500,5500,263,0,1500.0,1665.8728125515884,352.2218879952561,5465.439093997702,10103320.817490494
1761228818,75,,Aggregated,19.000000,0.000000,1500,2000,2300,2400,2900,3700,4100,5000,5600,5600,5600,267,0,1500.0,1696.6315213785322,352.2218879952561,5604.029711001203,10126067.516853932
1761228819,80,,Aggregated,17.500000,0.000000,1700,2200,2400,2600,3500,4000,5300,5500,5800,5800,5800,286,0,1700.0,1845.9922118045079,352.2218879952561,5833.026232998236,10043384.88111888
1761228820,85,,Aggregated,19.300000,0.000000,1800,2300,2700,2800,3700,4200,5300,5500,5800,5800,5800,320,0,1800.0,1983.2374143500601,352.2218879952561,5833.026232998236,10098351.4125
1761228821,90,,Aggregated,18.800000,0.000000,1900,2400,2700,2900,3800,4100,5300,5500,5800,5800,5800,324,0,1900.0,2006.1259659568698,352.2218879952561,5833.026232998236,10094302.308641976
1761228822,95,,Aggregated,18.800000,0.000000,1900,2500,2800,3000,4000,4600,5400,5500,5800,5800,5800,340,0,1900.0,2110.74299437665,352.2218879952561,5833.026232998236,10045117.164705882
1761228823,100,,Aggregated,19.400000,0.000000,2200,2800,3200,3500,4100,4700,5300,5500,5800,5800,5800,379,0,2200.0,2288.9477906096004,352.2218879952561,5833.026232998236,10054163.015831135
1761228824,100,,Aggregated,17.900000,0.000000,2200,2800,3300,3700,4300,5000,5400,5500,6100,6100,6100,387,0,2200.0,2340.017930152581,352.2218879952561,6051.203490002081,10059193.795865633
1761228825,100,,Aggregated,18.300000,0.000000,2300,3000,3600,3800,4500,5100,5400,5500,6100,6100,6100,411,0,2300.0,2469.44233881513,352.2218879952561,6051.203490002081,10031833.547445256
1761228826,100,,Aggregated,20.500000,0.000000,2400,3200,3700,3900,4700,5200,5600,5900,6100,6100,6100,429,0,2400.0,2561.1081204453358,352.2218879952561,6122.509356995579,10021354.184149183
1761228827,100,,Aggregated,18.600000,0.000000,2500,3300,3800,4100,4700,5200,5600,5900,6100,6100,6100,442,0,2500.0,2612.9911347965035,352.2218879952561,6122.509356995579,9997816.515837105
1761228828,100,,Aggregated,19.100000,0.000000,2600,3600,4000,4300,5000,5300,5600,6000,7600,7600,7600,473,0,2600.0,2740.9475866195576,352.2218879952561,7633.680658007506,9997863.389006343
1761228829,100,,Aggregated,20.700000,0.000000,2700,3700,4100,4300,5100,5400,6100,6800,7600,7600,7600,489,0,2700.0,2831.4456578774348,352.2218879952561,7633.680658007506,10001205.689161554
1761228830,100,,Aggregated,18.400000,0.000000,2900,3800,4300,4500,5100,5500,6800,7500,7800,7800,7800,525,0,2900.0,2975.3081236781622,352.2218879952561,7840.190108996467,10007199.417142857
1761228831,100,,Aggregated,20.700000,0.000000,2900,3800,4300,4500,5100,5500,6800,7500,7800,7800,7800,534,0,2900.0,2998.3700074513854,352.2218879952561,7840.190108996467,10006856.346441947
1761228832,100,,Aggregated,19.900000,0.000000,2900,3800,4300,4500,5200,5600,6800,7500,8800,8800,8800,539,0,2900.0,3030.5471432412337,352.2218879952561,8807.731630004128,10006934.94619666
