Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761283668,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761283669,5,,Aggregated,0.000000,0.000000,340,360,370,370,430,440,440,440,440,440,440,16,0,230.0,276.0768781226943,126.19672398432158,436.62354300613515,8718357.5
1761283670,10,,Aggregated,0.000000,0.000000,370,420,450,470,510,530,560,560,560,560,560,39,0,370.0,338.2971073599317,126.19672398432158,564.742535003461,8718998.461538462
1761283671,15,,Aggregated,11.000000,0.000000,430,510,530,610,680,690,700,710,710,710,710,57,0,430.0,420.13753066758477,126.19672398432158,708.838147984352,9073845.087719299
1761283672,20,,Aggregated,16.000000,0.000000,500,610,680,700,950,1100,1100,1200,1200,1200,1200,78,0,500.0,522.847152847531,126.19672398432158,1187.6481479848735,9084819.666666666
1761283673,25,,Aggregated,18.666667,0.000000,560,690,800,860,970,1000,1100,1200,1200,1200,1200,100,0,550.0,585.6695686999592,126.19672398432158,1187.6481479848735,9363390.09
1761283674,30,,Aggregated,17.750000,0.000000,680,800,920,960,1200,1300,1400,1500,1500,1500,1500,126,0,680.0,681.1971276825744,126.19672398432158,1473.9157099975273,9312435.873015873
1761283675,35,,Aggregated,19.200000,0.000000,700,870,1000,1200,1400,1500,1600,1600,1800,1800,1800,153,0,700.0,770.8261132156979,126.19672398432158,1768.8769189990126,9352144.758169934
1761283676,40,,Aggregated,19.666667,0.000000,720,960,1200,1300,1500,1600,1800,1800,1900,1900,1900,173,0,720.0,828.709037930064,126.19672398432158,1938.1693209870718,9430909.994219653
1761283677,45,,Aggregated,21.000000,0.000000,800,1100,1300,1400,1700,1900,2200,2300,2500,2500,2500,195,0,800.0,923.6284205636296,126.19672398432158,2514.3614890112076,9321991.523076924
1761283678,50,,Aggregated,20.750000,0.000000,860,1200,1400,1500,1800,2000,2300,2300,2500,2500,2500,224,0,850.0,989.8247997668607,126.19672398432158,2514.3614890112076,9355796.441964285
1761283679,55,,Aggregated,21.222222,0.000000,930,1300,1500,1700,2000,2300,3000,3300,3700,3700,3700,250,0,930.0,1093.302830638946,126.19672398432158,3672.71390199312,9406184.344
1761283680,60,,Aggregated,21.800000,0.000000,1000,1400,1600,1800,2200,2700,3100,3300,3700,3700,3700,278,0,1000.0,1184.3053313878177,126.19672398432158,3672.71390199312,9447479.830935251
1761283681,65,,Aggregated,22.500000,0.000000,1000,1500,1700,1800,2200,2500,3100,3300,3700,3700,3700,295,0,1000.0,1199.989653284113,126.19672398432158,3672.71390199312,9443063.850847458
1761283682,70,,Aggregated,23.700000,0.000000,1200,1600,1900,2000,2400,3000,3300,3600,3900,3900,3900,331,0,1200.0,1332.0327254524489,126.19672398432158,3917.664577020332,9422154.081570998
1761283683,75,,Aggregated,23.400000,0.000000,1300,1700,2000,2200,2700,3200,3700,3800,4400,4400,4400,357,0,1300.0,1419.7252778953048,126.19672398432158,4360.961978993146,9491474.50140056
1761283684,80,,Aggregated,24.600000,0.000000,1300,1700,2000,2200,2700,3100,3700,3800,4400,4400,4400,366,0,1300.0,1431.8890366684188,126.19672398432158,4360.961978993146,9476855.303278688
1761283685,85,,Aggregated,25.400000,0.000000,1400,1900,2200,2400,3000,3300,3800,4700,6000,6000,6000,395,0,1400.0,1551.5706061331784,126.19672398432158,6002.781652001431,9420521.891139241
1761283686,90,,Aggregated,24.600000,0.000000,1500,2000,2300,2500,3100,3600,4100,4700,6000,6000,6000,416,0,1500.0,1641.3617921218527,126.19672398432158,6002.781652001431,9473653.350961538
1761283687,95,,Aggregated,22.500000,0.000000,1500,2000,2400,2700,3300,3800,4800,5300,6000,6000,6000,437,0,1500.0,1731.161913038053,126.19672398432158,6002.781652001431,9451490.3798627
1761283688,100,,Aggregated,24.700000,0.000000,1700,2200,2700,3000,3600,4400,5000,5700,6200,6200,6200,481,0,1700.0,1885.4599369303426,126.19672398432158,6241.796536982292,9477842.38877339
1761283689,100,,Aggregated,24.200000,0.000000,1700,2200,2700,3000,3600,4400,5000,5700,6200,6200,6200,488,0,1700.0,1905.294726935459,126.19672398432158,6241.796536982292,9499604.055327868
1761283690,100,,Aggregated,25.300000,0.000000,1700,2300,2800,3000,3700,4500,5000,5700,6200,6200,6200,504,0,1700.0,1959.7490372430507,126.19672398432158,6241.796536982292,9494539.847222222
